state,total_availablity,unskilled_wage_expenditure,material_expenditure,admin_expenditure,other_expenditure,total_actual_exp,year,cum_expenditure_year,cum_expenditure_state
IN-JK,16081757000.0,11769165000.0,3072531000.0,452981000.00000006,0.0,15294676999.999998,2020,1107983803000.0,43609597000.0
IN-JH,32964769000.0,22650645000.0,7880108000.0,825666000.0,3000.0,31356421999.999996,2020,1107983803000.0,101904207000.0
IN-KA,59709071000.0,39854915000.0,14483851999.999998,1660654000.0,216000.0,55999637000.0,2020,1107983803000.0,225704497000.0
IN-KL,45114171000.0,29999078999.999996,7362883000.0,1266144000.0,240000.0,38628346000.0,2020,1107983803000.0,136701097000.0
IN-LA,224857000.00000003,445721000.0,49648000.0,7906999.999999999,0.0,503276000.0,2020,1107983803000.0,2261788000.0
IN-MP,99359087000.0,60800166000.0,25455213000.0,5166440000.0,941000.0,91422760000.0,2020,1107983803000.0,289498872000.0
IN-MH,16081744000.0,14938369000.0,3553397000.0,1200459000.0,1307000.0,19693532000.0,2020,1107983803000.0,87375719000.0
IN-MN,8453982000.000001,5961289000.0,4120862999.9999995,444713000.0,0.0,10526865000.0,2020,1107983803000.0,29281234000.0
IN-ML,14383816000.0,7773450000.0,5515716000.0,382171000.0,0.0,13671337000.0,2020,1107983803000.0,46138676000.0
IN-MZ,6208520000.0,4507947000.0,718980000.0,265267999.99999997,0.0,5492195000.0,2020,1107983803000.0,20419399000.0
IN-NL,5165352000.0,2635421000.0,1736771000.0,55670000.00000001,0.0,4427862000.0,2020,1107983803000.0,21588977000.0
IN-OR,56765475000.0,46725490000.0,10199420000.0,1355824000.0,28000.000000000004,58280762000.0,2020,1107983803000.0,191002208000.0
IN-PB,13801135000.0,9504952000.0,2542060000.0,361179000.0,93000.0,12408284000.0,2020,1107983803000.0,43512211000.0
IN-RJ,102242213000.0,76863091000.0,11892370000.0,5177185000.0,83000.0,93932729000.0,2020,1107983803000.0,346626710000.0
IN-SK,1081424000.0,760916000.0,254837000.0,54811000.0,11000.0,1070575000.0,2020,1107983803000.0,4052304000.0
IN-TN,91586887000.0,63063432999.99999,18606028000.0,2564507000.0,0.0,84233968000.0,2020,1107983803000.0,326341617000.0
IN-TG,47631865000.0,26667301000.0,18005010000.0,1755779000.0,0.0,46428090000.0,2020,1107983803000.0,137918599000.0
IN-TR,12486676000.0,8195027000.0,1878184000.0,562487000.0,2000.0,10635700000.0,2020,1107983803000.0,38988720000.0
IN-UP,133212783000.0,78553517000.0,44689151000.0,5396247000.0,14000.000000000002,128638929000.0,2020,1107983803000.0,372631540000.0
IN-UT,9871490000.0,6113025000.0,2102316999.9999998,323018000.0,4000.0,8538364000.0,2020,1107983803000.0,27761164000.0
IN-WB,119201034000.00002,81067314000.0,19321965000.0,2055748000.0,8187000.0,102453214000.0,2020,1107983803000.0,296171209000.0
IN-AN,48589000.0,58103000.0,4833000.0,3860000.0,0.0,66796000.0,2020,1107983803000.0,202216000.0
IN-DN,0.0,0.0,0.0,0.0,0.0,0.0,2020,1107983803000.0,0.0
IN-LD,16000.0,562000.0,8000.0,4000.0,0.0,574000.0,2020,1107983803000.0,2891000.0
IN-PY,271311000.0,227628000.00000003,13903000.0,11656000.0,0.0,253187000.0,2020,1107983803000.0,753896000.0
IN-AP,72256239000.0,51460612000.0,27072568000.0,2136795000.0,28070999.999999996,80698046000.0,2021,1063837998000.0,313104526000.0
IN-AR,5059276000.0,3145750000.0,1543978000.0,93686000.0,164000.0,4783578000.0,2021,1063837998000.0,15954222000.0
IN-AS,25242323000.0,20142696000.0,3057175000.0,584117000.0,869999.9999999999,23784858000.0,2021,1063837998000.0,79118146000.0
IN-BR,71021444000.0,35146667000.0,27086325000.0,2789703000.0,761000.0,65023456000.00001,2021,1063837998000.0,221744078000.0
IN-CT,45005256000.0,29804394000.0,8451828999.999999,1544381000.0,1000.0,39800605000.0,2021,1063837998000.0,137946233000.0
IN-GA,41399000.0,29214000.0,7458000.0,994000.0,68000.0,37734000.0,2021,1063837998000.0,119633000.0
